"id","name","age","potential","body_type","value","wage"
"5423","Salvador Agra","26","70","Stocky","1900000","7000"
"5424","P. McNair","23","78","Lean","2300000","22000"
"5425","D. Rodríguez","23","79","Lean","2800000","1000"
"5426","M. Stiepermann","27","70","Lean","1900000","16000"
"5427","J. Fulton","24","77","Normal","2100000","12000"
"5428","L. Abram","22","79","Normal","2400000","7000"
"5429","Z. Gano","24","74","Normal","2400000","9000"
"5430","L. Mazzoni","34","70","Lean","725000","2000"
"5431","Y. M'Changama","27","70","Lean","1500000","4000"
"5432","T. Mings","25","72","Normal","1800000","27000"
"5433","K. Árnason","35","70","Normal","0","0"
"5434","U. Bozok","21","79","Normal","2800000","9000"
"5435","Borja Fernández","37","70","Normal","240000","7000"
"5436","H. Bazile","28","70","Normal","1800000","5000"
"5437","G. Carey","29","70","Normal","1700000","8000"
"5438","P. Souaré","28","70","Lean","1400000","25000"
"5439","Verdasca","21","80","Normal","2500000","4000"
"5440","J. Vigón","26","70","Normal","1900000","12000"
"5441","Edsinho Torres","34","70","Normal","500000","9000"
"5442","S. Kaneko","23","77","Stocky","2500000","3000"
"5443","D. Batubinsika","22","77","Normal","2100000","6000"
"5444","F. Giefer","28","71","Normal","1400000","10000"
"5445","H. Wahl","24","74","Normal","2000000","6000"
"5446","M. Albæk","28","70","Normal","1400000","4000"
"5447","Juan Dominguez","28","70","Lean","1800000","6000"
"5448","C. Avevor","26","72","Stocky","1800000","10000"
"5449","David Costas","23","75","Lean","2000000","10000"
"5450","M. Faraoni","26","71","Normal","1700000","3000"
"5451","L. Mendoza","28","70","Normal","1800000","14000"
"5452","S. Romagnoli","28","70","Lean","1400000","8000"
"5453","A. Ngando","24","75","Lean","2400000","12000"
"5454","B. Vidal","27","72","Normal","1700000","6000"
"5455","C. Buonaiuto","25","71","Normal","2100000","3000"
"5456","L. Jutkiewicz","29","70","Normal","1800000","18000"
"5457","Li Xuepeng","29","70","Lean","1300000","10000"
"5458","Fábio Sturgeon","24","74","Lean","2300000","6000"
"5459","K. Mahachi","24","73","Normal","2300000","1000"
"5460","D. Barbona","23","78","Normal","2600000","6000"
"5461","M. Silva","29","70","Stocky","1400000","5000"
"5462","G. Voboril","31","70","Normal","1200000","6000"
"5463","Kim Jong Woo","24","73","Lean","2200000","5000"
"5464","M. Terrazzino","27","70","Normal","1900000","13000"
"5465","A. Ferrari","24","75","Lean","2000000","13000"
"5466","Rafa Mir","21","81","Normal","3100000","27000"
"5467","P. Iemmello","26","73","Lean","2200000","4000"
"5468","M. Cerato","30","70","Lean","1700000","17000"
"5469","Aleix García","21","82","Normal","3100000","37000"
"5470","O. Linnér","21","76","Lean","1800000","3000"
"5471","Platiny","27","70","Normal","1900000","7000"
"5472","D. Petrić","30","70","Normal","1100000","9000"
"5473","A. Meijers","30","70","Normal","1300000","5000"
"5474","Jeong Seung Hyun","24","76","Normal","2100000","6000"
"5475","Flávio Rebeilo","26","70","Lean","1500000","9000"
"5476","E. Tercero","22","77","Lean","2100000","21000"
"5477","Kalindi","24","74","Normal","1900000","5000"
"5478","L. Kübler","25","72","Lean","1800000","12000"
"5479","M. Caballero","23","75","Normal","2400000","3000"
"5480","A. Rocha","25","73","Normal","2200000","6000"
"5481","M. Ingvartsen","22","77","Normal","2500000","9000"
"5482","N. Moiraghi","33","70","Stocky","725000","8000"
"5483","C. Wondolowski","35","70","Normal","825000","4000"
"5484","M. Petržela","35","70","Normal","775000","1000"
"5485","A. Cissokho","30","70","Stocky","1300000","9000"
"5486","P. Bauer","25","74","Normal","1900000","7000"
"5487","J. López","29","70","Lean","1400000","3000"
"5488","C. Quintero","29","70","Normal","1700000","1000"
"5489","R. Wallace","33","70","Normal","1100000","6000"
"5490","P. Alvarado","32","70","Stocky","1000000","2000"
"5491","A. Micai","24","76","Normal","1800000","2000"
"5492","H. Veerman","27","70","Normal","1900000","11000"
"5493","A. Salvi","30","70","Lean","1300000","3000"
"5494","B. Khuzwayo","28","72","Lean","1500000","1000"
"5495","R. Loaiza","24","78","Normal","2300000","3000"
"5496","Hugo Vieira","29","70","Normal","1800000","5000"
"5497","P. Türpitz","26","70","Normal","1900000","10000"
"5498","N. Đurđić","32","70","Lean","1400000","5000"
"5499","K. Overmeire","32","70","Normal","1000000","8000"
"5500","H. Campagnaro","38","70","Normal","240000","2000"
"5501","F. Mancinelli","36","70","Stocky","240000","6000"
"5502","F. Ondoa","22","79","Normal","2100000","6000"
"5503","G. Ward","23","76","Lean","2400000","6000"
"5504","Campillo","27","70","Normal","1900000","6000"
"5505","E. Bush","32","70","Normal","1000000","4000"
"5506","J. Silbeira","22","72","Stocky","0","0"
"5507","F. Jungwirth","29","70","Normal","1400000","5000"
"5508","I. Bel Hassani","25","72","Normal","2200000","8000"
"5509","André Santos","29","70","Normal","1700000","5000"
"5510","B. Johnson","31","70","Normal","1500000","23000"
"5511","Cotán","22","78","Lean","2300000","9000"
"5512","Artur Jorge","23","75","Normal","2000000","3000"
"5513","T. Malacia","18","80","Normal","2200000","3000"
"5514","M. van Buren","25","73","Normal","2300000","1000"
"5515","Daguinho Parrela","34","70","Normal","500000","13000"
"5516","D. Beasley","36","70","Lean","200000","3000"
"5517","C. Zimmermann","25","75","Normal","2000000","14000"
"5518","Ademilson","24","76","Normal","2500000","7000"
"5519","Jorginho","27","70","Lean","1900000","12000"
"5520","Lee Chung Yong","29","70","Lean","1700000","11000"
"5521","C. Eiting","20","79","Normal","2700000","7000"
"5522","F. Ballas","25","73","Normal","1900000","10000"
"5523","J. Komar","21","80","Lean","2500000","6000"
"5524","Y. Gomis","26","71","Normal","2100000","7000"
"5525","Rodrigo","25","74","Normal","1900000","6000"
"5526","S. Winnall","27","70","Lean","1900000","17000"
"5527","T. Delaine","26","73","Normal","1800000","4000"
"5528","L. Quintana","26","75","Normal","2000000","11000"
"5529","Rogério","20","85","Normal","3900000","32000"
"5530","L. Nielsen","30","70","Normal","1300000","4000"
"5531","D. Batth","27","72","Normal","1700000","30000"
"5532","J. Giraudon","26","72","Lean","1800000","5000"
"5533","Vítor Bruno","28","70","Stocky","1400000","7000"
"5534","K. Watanabe","31","70","Normal","1600000","8000"
"5535","V. Ulloa","26","71","Normal","1700000","5000"
"5536","Zhang Linpeng","29","70","Normal","1400000","10000"
"5537","T. Eisfeld","25","73","Normal","2200000","10000"
"5538","J. Cristaldo","29","70","Normal","1800000","13000"
"5539","Bernardo Motinho","26","70","Lean","1500000","14000"
"5540","C. Walton","22","80","Normal","2200000","15000"
"5541","Sergi Palencia","22","78","Stocky","2200000","47000"
"5542","V. Lampropoulos","28","70","Normal","1400000","1000"
"5543","L. Tremolada","26","71","Lean","2100000","3000"
"5544","M. Pátkai","30","70","Normal","0","0"
"5545","F. Al Ansari","31","70","Lean","1200000","13000"
"5546","José Semedo","33","70","Normal","725000","4000"
"5547","G. Giakoumakis","23","76","Normal","2500000","1000"
"5548","M. Leovac","29","70","Lean","1300000","1000"
"5549","T. Figueroa","26","73","Normal","2200000","10000"
"5550","Pol Llonch","25","73","Normal","1900000","5000"
"5551","B. Angulo","28","70","Stocky","1400000","5000"
"5552","E. Bennett","29","70","Lean","1700000","24000"
"5553","C. Nhamoinesu","32","70","Lean","975000","1000"
"5554","B. Rabello","24","75","Normal","2400000","5000"
"5555","J. Insaurralde","33","70","Normal","725000","5000"
"5556","A. Bernardini","31","70","Normal","1200000","3000"
"5557","J. Walker","25","74","Normal","2300000","27000"
"5558","A. Sørloth","22","76","Normal","2500000","25000"
"5559","David Raya","22","77","Normal","1800000","14000"
"5560","M. Cassierra","21","78","Lean","2700000","8000"
"5561","A. Tchouaméni","18","84","Lean","3600000","10000"
"5562","J. Siebatcheu","22","77","Normal","2500000","16000"
"5563","V. Angban","21","79","Normal","2700000","4000"
"5564","Edu Expósito","21","81","Lean","3000000","5000"
"5565","A. Nordin","20","81","Stocky","3100000","12000"
"5566","Rodri","28","70","Normal","1800000","7000"
"5567","M. Pisano","26","70","Lean","1900000","8000"
"5568","G. Whelan","34","70","Normal","550000","10000"
"5569","M. Parkhurst","34","70","Normal","550000","5000"
"5570","J. Zárate","26","71","Lean","2100000","5000"
"5571","P. Kanstrup","29","70","Normal","1400000","8000"
"5572","G. Scognamiglio","31","70","Normal","1200000","3000"
"5573","E. Ersoy","21","80","Normal","2500000","7000"
"5574","L. Licht","37","70","Normal","200000","6000"
"5575","Borja Herrera","25","75","Lean","2000000","5000"
"5576","E. Brignola","18","84","Normal","3700000","12000"
"5577","M. Maddison","24","73","Normal","2300000","6000"
"5578","M. Cavion","23","76","Lean","2400000","3000"
"5579","C. Mosquera","27","70","Stocky","1900000","2000"
"5580","R. Gudiño","22","79","Lean","2100000","12000"
"5581","V. Malcorra","30","70","Normal","1600000","12000"
"5582","Milton Menceiros","26","70","Stocky","1500000","11000"
"5583","Jamiro Monteiro","24","74","Normal","2300000","4000"
"5584","L. Bridcutt","29","70","Normal","1400000","25000"
"5585","Luisinho","27","70","Lean","1900000","14000"
"5586","E. Elmas","18","83","Lean","3100000","15000"
"5587","N. Pérez","18","84","Lean","3300000","9000"
"5588","D. Ndlovu","28","70","Stocky","0","0"
"5589","Y. Reyna","24","75","Normal","2400000","5000"
"5590","D. Kownacki","21","82","Lean","3200000","15000"
"5591","H. Faik","26","72","Lean","2100000","9000"
"5592","C. Mepham","20","80","Lean","2500000","15000"
"5593","D. Rudd","27","74","Lean","1600000","7000"
"5594","Bruno Gallo","30","70","Normal","1600000","6000"
"5595","M. Peybernès","27","71","Lean","1700000","5000"
"5596","D. Böde","31","70","Normal","0","0"
"5597","T. Schröck","25","75","Lean","2000000","12000"
"5598","I. Brown","21","80","Normal","2900000","17000"
"5599","J. Morris","23","77","Normal","2500000","5000"
"5600","J. Taravel","31","70","Normal","1200000","8000"
"5601","A. Lusamba","21","79","Normal","2800000","12000"
"5602","Felipe","30","70","Normal","1300000","6000"
"5603","Z. Touré","28","71","Normal","1600000","16000"
"5604","I. Hajrović","26","70","Normal","1900000","1000"
"5605","T. Kempe","29","70","Normal","1700000","12000"
"5606","V. Giraldo","32","70","Normal","975000","3000"
"5607","A. Wooten","28","70","Normal","1800000","5000"
"5608","U. Đurđević","24","75","Normal","2400000","6000"
"5609","A. Bastía","39","70","Lean","120000","5000"
"5610","S. Allagui","32","70","Normal","1400000","11000"
"5611","M. Müller","24","75","Normal","1700000","15000"
"5612","P. Galdames","21","80","Normal","2800000","7000"
"5613","O. Benítez","25","73","Normal","2200000","7000"
"5614","E. Löwen","21","80","Stocky","2500000","9000"
"5615","A. Fathi","33","70","Normal","0","0"
"5616","I. Sylla","27","70","Lean","1900000","7000"
"5617","A. Tziolis","33","70","Normal","725000","11000"
"5618","J. Une Larsson","24","74","Normal","2000000","3000"
"5619","Pedro Pinto","23","74","Normal","2000000","3000"
"5620","G. Hairemans","26","71","Lean","2100000","7000"
"5621","E. Oztumer","27","71","Lean","2000000","7000"
"5622","S. Mugoša","26","72","Lean","2200000","4000"
"5623","O. Oularé","22","77","Stocky","2500000","25000"
"5624","T. Sparv","31","70","Lean","1500000","13000"
"5625","Matheus","26","73","Normal","1800000","7000"
"5626","M. Jurman","28","70","Normal","1400000","19000"
"5627","F. Malbašić","25","73","Normal","2300000","7000"
"5628","N. Domínguez","20","82","Lean","3100000","7000"
"5629","J. Ramaré","34","70","Normal","550000","4000"
"5630","Yang Han Been","26","72","Normal","1500000","4000"
"5631","S. Magnasco","25","71","Normal","1700000","6000"
"5632","L. Mancuso","26","71","Lean","2100000","47000"
"5633","Nuno André Coelho","32","70","Normal","1000000","6000"
"5634","E. Ambrose","29","70","Lean","1400000","5000"
"5635","S. Kitsiou","24","74","Normal","1900000","1000"
"5636","Eltson Marques","26","70","Normal","1500000","13000"
"5637","C. De Norre","21","79","Normal","2800000","5000"
"5638","Eloi Amagat","33","70","Normal","1000000","5000"
"5639","R. Abdullah","24","74","Lean","1200000","5000"
"5640","M. Ordóñez","28","70","Normal","950000","2000"
"5641","L. Robertone","21","79","Normal","1700000","6000"
"5642","I. Mathew","21","78","Normal","1600000","2000"
"5643","P. Velthuizen","31","69","Stocky","650000","6000"
"5644","K. Erasmus","27","69","Stocky","1100000","4000"
"5645","K. Mokotjo","27","70","Normal","1200000","19000"
"5646","C. Guzmán","24","74","Lean","1200000","4000"
"5647","A. Fink","30","69","Normal","1000000","5000"
"5648","D. Łukasik","27","69","Stocky","875000","4000"
"5649","J. Chunga","26","72","Normal","925000","2000"
"5650","C. Lombardi","22","74","Normal","1400000","19000"
"5651","E. Hackman","23","76","Lean","1200000","4000"
"5652","Aleix Febas","22","78","Normal","1600000","44000"
"5653","A. Isak","18","83","Lean","2200000","11000"
"5654","R. Munsy","28","69","Stocky","1100000","9000"
"5655","E. Hussain","25","74","Lean","1400000","4000"
"5656","Magno","30","69","Normal","1000000","4000"
"5657","N. Bodurov","32","69","Normal","0","0"
"5658","Álvaro Peña","26","70","Lean","1200000","5000"
"5659","B. Riveros","20","83","Lean","2100000","8000"
"5660","J. Villota","26","71","Stocky","1300000","1000"
"5661","V. Fındıklı","27","70","Normal","1000000","8000"
"5662","L. Chambers","32","69","Normal","600000","5000"
"5663","D. Batallini","22","77","Normal","1500000","6000"
"5664","Z. Zlámal","32","69","Normal","600000","3000"
"5665","D. Odoi","30","69","Lean","775000","22000"
"5666","Juanjo","30","69","Normal","775000","2000"
"5667","M. Jahfali","27","69","Lean","875000","15000"
"5668","M. Bunn","33","69","Normal","525000","7000"
"5669","David Batanero","29","69","Normal","1000000","3000"
"5670","M. Lukač","32","69","Normal","600000","6000"
"5671","M. Wilson","30","69","Normal","775000","5000"
"5672","A. Jansen","29","69","Stocky","1100000","5000"
"5673","A. Sobiech","28","69","Normal","1100000","5000"
"5674","L. Manyama","27","69","Stocky","1100000","1000"
"5675","S. Morison","34","69","Normal","550000","8000"
"5676","A. Sepúlveda","27","69","Normal","1100000","17000"
"5677","R. Murawski","24","76","Normal","1500000","2000"
"5678","Pinillos","25","72","Lean","1100000","6000"
"5679","P. Celeban","33","69","Normal","425000","4000"
"5680","J. Williams","21","79","Lean","1500000","23000"
"5681","N. Fernández","22","77","Normal","1600000","6000"
"5682","S. Taniguchi","26","70","Lean","1000000","5000"
"5683","A. Bogdán","30","69","Normal","675000","28000"
"5684","M. Ritter","23","74","Normal","1400000","6000"
"5685","L. Ridgewell","33","69","Normal","425000","4000"
"5686","C. Labrín","27","71","Normal","1000000","3000"
"5687","S. Eduok","24","73","Normal","1400000","6000"
"5688","J. Buijs","29","69","Normal","825000","3000"
"5689","M. Olsson","30","69","Normal","750000","18000"
"5690","M. Murillo","24","74","Stocky","1400000","2000"
"5691","A. Spörle","22","78","Normal","1400000","6000"
"5692","J. Rodríguez","33","69","Stocky","650000","3000"
"5693","B. Halimi","23","76","Normal","1500000","11000"
"5694","O. Ruisalvo","26","69","Lean","0","0"
"5695","K. Mac Allister","20","80","Normal","1600000","4000"
"5696","V. Rüfli","30","69","Lean","750000","4000"
"5697","A. Aseri","24","75","Lean","1400000","15000"
"5698","J. Greguš","27","69","Lean","1100000","10000"
"5699","D. Ward","27","69","Normal","1100000","22000"
"5700","F. Hartherz","25","73","Normal","1100000","7000"
"5701","Allan","21","78","Lean","1600000","28000"
"5702","Luis Felipe","22","73","Normal","1200000","3000"
"5703","F. Kiss","27","69","Normal","875000","12000"
"5704","U. Ceylan","32","69","Normal","600000","5000"
"5705","P. Filipović","27","70","Normal","1000000","8000"
"5706","Cifu","27","69","Normal","875000","5000"
"5707","F. Álvarez","25","74","Normal","1400000","6000"
"5708","Caio Tafarell","26","69","Normal","925000","6000"
"5709","E. Eze","20","83","Lean","2300000","4000"
"5710","A. Balzano","32","69","Stocky","575000","3000"
"5711","J. Olsson","35","69","Lean","250000","2000"
"5712","J. Lefort","24","74","Lean","1200000","7000"
"5713","I. Höhn","26","71","Lean","1100000","9000"
"5714","J. Gyau","25","70","Normal","1200000","4000"
"5715","M. Al Sahlawi","31","69","Lean","950000","18000"
"5716","Alberto","25","73","Stocky","1100000","5000"
"5717","Luciano Cacheira","34","69","Normal","425000","8000"
"5718","M. Gaus","28","69","Lean","825000","12000"
"5719","C. Lampe","31","69","Lean","650000","8000"
"5720","A. Vellios","26","70","Lean","1300000","24000"
"5721","J. Sánchez","20","77","Lean","1300000","17000"
"5722","F. Fielding","30","69","Normal","675000","14000"
"5723","N. Theuerkauf","31","69","Normal","700000","6000"
"5724","M. Sadlok","29","69","Normal","825000","4000"
"5725","H. Olvera","28","69","Lean","825000","10000"
"5726","S. Mosquera","24","77","Lean","1300000","2000"
"5727","V. Kalitvintsev","25","72","Lean","1300000","1000"
"5728","S. Papagiannopoulos","27","70","Normal","1000000","9000"
"5729","I. Pettersson","21","80","Normal","1400000","2000"
"5730","C. Evans","27","69","Lean","875000","18000"
"5731","A. Richards","27","69","Normal","875000","19000"
"5732","S. Dursun","26","70","Lean","1300000","11000"
"5733","R. Leipertz","25","72","Normal","1300000","12000"
"5734","R. Pasveer","34","69","Normal","425000","5000"
"5735","D. Daube","28","69","Normal","1000000","5000"
"5736","Iñaki Astiz","34","69","Lean","325000","5000"
"5737","S. Bigalke","28","69","Lean","1100000","4000"
"5738","M. Silvestri","27","69","Lean","700000","2000"
"5739","S. Muwashar","29","69","Lean","1000000","18000"
"5740","A. Powell","23","74","Normal","1200000","3000"
"5741","P. Kirkevold","27","69","Stocky","1100000","6000"
"5742","S. Roudet","37","69","Lean","350000","3000"
"5743","S. Gonther","31","69","Normal","700000","9000"
"5744","I. Ghaleb","27","69","Lean","875000","15000"
"5745","P. Sotiriou","25","73","Normal","1400000","10000"
"5746","W. Faes","20","79","Normal","1500000","5000"
"5747","S. Tecl","27","69","Stocky","1100000","1000"
"5748","M. Guanini","22","77","Normal","1300000","6000"
"5749","J. Brix-Damborg","32","69","Normal","600000","5000"
"5750","M. de los Santos","25","72","Normal","1100000","2000"
"5751","F. Andrada","24","75","Normal","1500000","7000"
"5752","Z. Youssouf","18","81","Stocky","1700000","8000"
"5753","S. Ciss","29","69","Normal","800000","10000"
"5754","S. Mockenhaupt","26","71","Normal","1100000","4000"
"5755","N. Cozza","19","85","Normal","2000000","5000"
"5756","M. Valoti","24","73","Lean","1300000","2000"
"5757","Y. Salmier","25","72","Normal","1100000","8000"
"5758","C. Benschop","28","69","Stocky","1100000","14000"
"5759","Gégé","30","69","Normal","775000","9000"
"5760","L. Morosini","22","75","Normal","1400000","2000"
"5761","Sandeiro Leal","30","69","Lean","1000000","10000"
"5762","M. Pongračić","20","82","Normal","1800000","10000"
"5763","L. Ibáñez","29","69","Normal","800000","13000"
"5764","M. O'Halloran","27","69","Normal","1100000","7000"
"5765","M. van Duinen","26","70","Normal","1300000","6000"
"5766","R. Zwinkels","35","69","Normal","250000","2000"
"5767","F. Mazzeo","34","69","Normal","550000","2000"
"5768","C. Auzqui","27","69","Normal","1100000","11000"
"5769","J. Quintero","23","78","Normal","1400000","1000"
"5770","B. Watson","32","69","Lean","600000","20000"
"5771","Gustavo Cascardo","21","76","Lean","1300000","2000"
"5772","T. Bradshaw","25","71","Normal","1300000","7000"
"5773","J. Pelupessy","25","73","Normal","1100000","12000"
"5774","J. Fojut","30","69","Normal","775000","3000"
"5775","M. Brighi","37","69","Normal","325000","5000"
"5776","L. Boussaha","30","69","Normal","1000000","4000"
"5777","D. Bomheuer","27","70","Normal","1000000","4000"
"5778","B. Sangaré","32","69","Normal","0","0"
"5779","Y. Cabral","26","74","Normal","1200000","9000"
"5780","S. Breitkreuz","26","72","Normal","1100000","4000"
"5781","K. Rowe","26","70","Normal","1200000","4000"
"5782","Roldão Riso","26","69","Stocky","925000","12000"
"5783","C. Rizzuto","26","71","Normal","1000000","4000"
"5784","D. van Mieghem","28","69","Normal","1100000","5000"
"5785","A. El Messaoudi","22","74","Stocky","1200000","4000"
"5786","Y. Cabrera","27","69","Normal","1100000","1000"
"5787","S. Ay","26","72","Lean","1100000","8000"
"5788","A. Gojak","21","78","Normal","1600000","1000"
"5789","L. Gülen","24","73","Normal","1200000","6000"
"5790","N. Eliasson","22","78","Normal","1600000","17000"
"5791","Y. Komai","26","70","Lean","1200000","3000"
"5792","S. Marinos","30","69","Normal","750000","7000"
"5793","D. Verhulst","30","69","Normal","675000","5000"
"5794","Núrio","23","75","Normal","1200000","6000"
"5795","S. Sparagna","23","75","Lean","1200000","4000"
"5796","H. Halldórsson","34","69","Normal","0","0"
"5797","M. Prietl","26","71","Lean","1100000","7000"
"5798","Nono","27","69","Normal","1100000","5000"
"5799","J. Berget","27","69","Normal","1100000","5000"
"5800","M. Jacobs","26","69","Lean","1100000","24000"
"5801","J. Brillante","25","74","Normal","1200000","4000"
"5802","P. van Anholt","27","69","Normal","875000","5000"
"5803","P. Ziereis","25","73","Lean","1100000","8000"
"5804","R. Bezjak","29","69","Lean","1100000","6000"
"5805","A. Vega","20","83","Normal","2300000","9000"
"5806","S. Bentivoglio","33","69","Normal","625000","3000"
"5807","Juan Muñoz","22","74","Normal","1400000","5000"
"5808","Linares","35","69","Lean","475000","4000"
"5809","S. De Petter","32","69","Normal","600000","6000"
"5810","Renatao Baumer","34","69","Stocky","300000","6000"
"5811","A. Ivan","21","76","Normal","1500000","7000"
"5812","I. Šunjić","21","76","Lean","1300000","1000"
"5813","S. Andrist","30","69","Lean","1000000","5000"
"5814","Q. Cornette","24","72","Normal","1300000","8000"
"5815","Carvamelinho","34","69","Normal","300000","12000"
"5816","R. Oudin","21","76","Lean","1500000","7000"
"5817","C. Stengs","19","84","Lean","2300000","4000"
"5818","I. González","33","69","Normal","425000","12000"
"5819","S. Dallas","27","69","Normal","1100000","19000"
"5820","S. Walsh","23","74","Lean","1200000","6000"
"5821","U. Radaković","24","75","Lean","1200000","1000"
"5822","P. Schobesberger","24","71","Lean","1300000","9000"
"5823","Jaimosa Cavaco","30","69","Lean","750000","6000"
"5824","M. Turner","24","77","Lean","1200000","3000"
"5825","Alfaro","31","69","Lean","925000","5000"
"5826","M. Havel","23","76","Normal","1200000","1000"
"5827","J. Hegeler","30","69","Lean","775000","18000"
"5828","M. Fares","22","77","Lean","1500000","2000"
"5829","C. Techera","26","70","Lean","1200000","4000"
"5830","F. Tomori","20","80","Normal","1600000","13000"
"5831","H. Takahashi","30","69","Lean","775000","3000"
"5832","A. Rivas","33","69","Normal","425000","1000"
"5833","J. Mosquera","28","69","Lean","1100000","2000"
"5834","A. Linde","24","74","Lean","1000000","3000"
"5835","C. Bonilla","25","72","Normal","925000","7000"
"5836","Diego Capel","30","69","Normal","1000000","4000"
"5837","Leandrinho","24","74","Lean","1400000","4000"
"5838","Susaeta","33","69","Normal","625000","5000"
"5839","M. Zimmermann","26","72","Lean","1100000","12000"
"5840","E. Demir","28","69","Lean","825000","7000"
"5841","Marco Sangalli","26","70","Lean","1200000","5000"
"5842","T. Hayashi","35","69","Lean","250000","3000"
"5843","R. Bormuth","22","77","Normal","1300000","11000"
"5844","E. Hernández","31","69","Stocky","700000","15000"
"5845","B. Martella","25","71","Normal","1100000","2000"
"5846","E. Oikonomou","30","69","Normal","775000","1000"
"5847","L. Choutesiotis","23","75","Normal","1100000","1000"
"5848","J. Blaswich","27","73","Normal","925000","3000"
"5849","J. Huth","24","77","Normal","1200000","8000"
"5850","I. Sackey","24","76","Normal","1300000","6000"
"5851","Jang Hyeon Soo","26","70","Lean","1000000","5000"
"5852","A. Rosati","35","69","Normal","250000","9000"
"5853","J. Cabrera","26","70","Normal","1200000","7000"
"5854","Anderson Lopes","24","74","Normal","1400000","4000"
"5855","N. Byrne","26","72","Lean","1100000","22000"
"5856","A. Trajkovski","25","72","Normal","1300000","3000"
"5857","Alex Geijo","36","69","Lean","375000","2000"
"5858","Iván Sánchez","25","70","Normal","1200000","4000"
"5859","J. Carranza","37","69","Normal","70000","3000"
"5860","E. Ocansey","20","78","Normal","1600000","5000"
"5861","B. Uphoff","24","74","Normal","1000000","3000"
"5862","Wu Xi","29","69","Lean","1000000","10000"
"5863","C. Skuse","32","69","Lean","600000","5000"
"5864","E. Rexhbeçaj","20","80","Normal","1800000","14000"
"5865","G. Åsen","27","70","Lean","1200000","3000"
"5866","M. Laba","26","71","Normal","1100000","7000"
"5867","G. Carabajal","26","69","Normal","1100000","7000"
"5868","T. Fontaine","27","69","Stocky","875000","8000"
"5869","J. Villafaña","28","69","Lean","825000","4000"
"5870","B. Tashchy","24","73","Normal","1400000","4000"
"5871","J. Vaughan","29","69","Normal","1100000","27000"
"5872","J. Moya","25","73","Normal","1100000","2000"
"5873","N. Sangaré","24","75","Normal","1200000","7000"
"5874","Kim Kwang Suk","35","69","Normal","250000","3000"
"5875","M. Rojas","26","69","Normal","1100000","5000"
"5876","E. Taşkıran","28","71","Normal","875000","7000"
"5877","M. Gersbeck","23","77","Normal","1200000","8000"
"5878","U. Çiftçi","26","72","Normal","1100000","7000"
"5879","Lucas Galvão","27","72","Normal","1100000","11000"
"5880","B. Riascos","23","74","Stocky","1400000","6000"
"5881","E. Saveljich","27","72","Lean","1100000","10000"
"5882","Tang Miao","27","69","Normal","875000","7000"
"5883","J. Mees","22","78","Lean","1600000","14000"
"5884","C. Cáceda","26","73","Normal","0","0"
"5885","O. Fernández","25","72","Lean","1300000","4000"
"5886","Jeffrén","30","69","Normal","1000000","8000"
"5887","K. Manneh","23","76","Lean","1500000","7000"
"5888","G. Larsonneur","21","80","Normal","1400000","2000"
"5889","O. Kúdela","31","69","Normal","700000","1000"
"5890","E. Bourgaud","30","69","Normal","1000000","4000"
"5891","P. Huspek","27","69","Normal","1100000","10000"
"5892","G. Maluleka","29","69","Normal","1000000","1000"
"5893","T. Jurić","26","70","Normal","1300000","8000"
"5894","F. Scaglia","26","71","Normal","1100000","2000"
"5895","David Rodríguez","32","69","Normal","850000","6000"
"5896","H. Kekana","33","69","Lean","0","0"
"5897","C. Dibon","27","71","Normal","1000000","8000"
"5898","R. Petretta","21","83","Normal","2100000","8000"
"5899","M. Scozzarella","30","69","Lean","975000","18000"
"5900","M. Kaye","23","75","Lean","1400000","4000"
"5901","Y. Toyokawa","23","74","Lean","1400000","6000"
"5902","L. Bittante","24","70","Lean","1000000","6000"
"5903","E. Velarde","32","69","Normal","575000","5000"
"5904","D. Jones","33","69","Lean","625000","13000"
"5905","M. Cahais","30","69","Normal","775000","6000"
"5906","M. Olivera","20","78","Normal","1400000","7000"
"5907","M. Sax","25","70","Lean","1200000","8000"
"5908","A. Mühling","25","71","Normal","1300000","6000"
"5909","P. Bråtveit","22","76","Lean","1100000","2000"
"5910","F. Píriz","28","70","Normal","950000","11000"
"5911","Ricardo Lopes","27","69","Normal","1100000","6000"
"5912","P. Hamel","24","74","Lean","1400000","5000"
"5913","K. Mączyński","31","69","Lean","700000","5000"
"5914","M. Hamdy","23","79","Normal","0","0"
"5915","R. Pröpper","24","73","Normal","1200000","3000"
"5916","C. N'Doye","32","69","Normal","800000","13000"
"5917","Fernando Karanga","27","70","Lean","1200000","8000"
"5918","C. Carter-Vickers","20","84","Normal","2100000","21000"
"5919","E. Cobbaut","20","79","Lean","1500000","6000"
"5920","M. Dąbrowski","31","69","Normal","700000","4000"
"5921","F. Picault","27","69","Lean","1100000","4000"
"5922","R. Romo","28","71","Normal","0","0"
"5923","A. Corzo","29","69","Normal","0","0"
"5924","L. Dickmann","21","78","Normal","1400000","5000"
"5925","Luis Pérez","23","77","Lean","1300000","4000"
"5926","A. Barkok","20","81","Lean","1900000","11000"
"5927","M. Watkins","27","69","Normal","1100000","19000"
"5928","H. Arslan","29","69","Normal","825000","7000"
"5929","A. Camargo","29","69","Normal","1000000","3000"
"5930","F. Müller","20","83","Normal","1900000","6000"
"5931","B. Behrendt","26","71","Normal","1100000","7000"
