Name,Age,Potential,Body Type,Value,Wage
Jota,27,72,Lean,3300000.00,21000.00
Pedro Tiba,29,72,Normal,3000000.00,8000.00
M. Torsiglieri,30,72,Normal,2300000.00,11000.00
D. Maietta,35,72,Normal,725000.00,7000.00
E. Özgenç,33,72,Normal,1200000.00,15000.00
D. Buitrago,27,73,Normal,3600000.00,2000.00
C. Peralta,28,72,Normal,3200000.00,2000.00
A. Walke,35,72,Stocky,725000.00,12000.00
R. Thelander,26,72,Normal,2700000.00,10000.00
E. Unsain,23,79,Normal,3200000.00,6000.00
Jorge Pombo,24,79,Stocky,4400000.00,8000.00
Porphirinho,30,72,Normal,2300000.00,11000.00
L. Cabrera,26,75,Normal,3200000.00,15000.00
G. Núñez,30,72,Normal,2900000.00,9000.00
E. Berggreen,25,76,Normal,4099999.00,20000.00
E. Lamanna,28,74,Normal,2600000.00,3000.00
K. Kusk,26,72,Lean,3300000.00,11000.00
R. Espinoza,31,72,Normal,2700000.00,7000.00
J. Bahebeck,25,75,Normal,4000000.00,14000.00
C. Marshall,33,72,Stocky,1300000.00,6000.00
Z. Ferhat,25,75,Normal,3900000.00,7000.00
M. Pack,27,73,Normal,3500000.00,30000.00
P. Lasogga,26,75,Stocky,3900000.00,12000.00
D. Verde,22,82,Normal,5000000.00,35000.00
Alessinito,34,72,Normal,950000.00,14000.00
J. Nsame,25,77,Normal,4200000.00,17000.00
A. Fransson,24,77,Lean,4099999.00,5000.00
J. Babin,31,72,Stocky,2100000.00,7000.00
L. Suárez,22,80,Lean,4600000.00,18000.00
R. Shotton,29,72,Normal,2400000.00,35000.00
Rafa Soares,23,80,Normal,3900000.00,6000.00
J. Galván,26,75,Normal,3200000.00,9000.00
V. Belec,28,74,Normal,2600000.00,18000.00
T. Lawrence,24,78,Lean,4300000.00,29000.00
M. Sobottka,24,78,Lean,3600000.00,16000.00
A. Farías,30,72,Lean,2300000.00,4000.00
F. Gaibor,26,73,Normal,3600000.00,15000.00
Rafael Leão,19,86,Normal,6500000.00,12000.00
Fernandinho,32,72,Normal,2400000.00,8000.00
P. Crouch,37,72,Normal,1100000.00,25000.00
S. Adegbenro,22,80,Normal,4600000.00,6000.00
E. Martínez,25,77,Normal,3000000.00,40000.00
Roberto Torres,29,72,Normal,3000000.00,9000.00
N. De la Cruz,21,79,Lean,4400000.00,12000.00
Rúben Micael,31,72,Normal,2700000.00,6000.00
S. Koroki,31,72,Lean,2800000.00,11000.00
C. Medjani,33,72,Normal,1300000.00,10000.00
M. Makola,32,72,Normal,2400000.00,1000.00
D. Sinkgraven,22,75,Lean,3300000.00,10000.00
F. Romagna,21,86,Normal,6000000.00,14000.00
Kiko Olivas,29,72,Normal,2400000.00,14000.00
I. Balliu,26,74,Normal,3100000.00,6000.00
T. Pledl,24,75,Normal,3900000.00,16000.00
Leordinho Paes,30,72,Lean,2900000.00,14000.00
A. Tuanzebe,20,83,Normal,4700000.00,43000.00
R. Wolf,30,72,Normal,2000000.00,15000.00
L. Abecasis,28,72,Normal,2500000.00,11000.00
P. Kunde Malong,22,79,Stocky,3700000.00,15000.00
Y. Orozco,27,72,Normal,3300000.00,4000.00
A. Bouzat,24,78,Normal,4300000.00,11000.00
L. Mothiba,22,81,Lean,4900000.00,13000.00
A. Rojas,32,72,Normal,2400000.00,15000.00
R. Walter,23,78,Normal,4200000.00,19000.00
S. Gakpé,31,72,Lean,2700000.00,11000.00
Joselu,27,73,Stocky,3600000.00,10000.00
Angulo,34,72,Normal,1600000.00,6000.00
Ricardo Valente,27,72,Normal,3300000.00,8000.00
M. Kean,18,87,Lean,6500000.00,32000.00
S. Dioudis,25,75,Normal,2800000.00,1000.00
S. Pellissier,39,72,Normal,900000.00,10000.00
B. Afobe,25,76,Normal,4099999.00,31000.00
C. Gytkjær,28,72,Normal,3200000.00,9000.00
Kim Jin Su,26,73,Normal,3000000.00,8000.00
A. Cerri,22,80,Normal,4600000.00,54000.00
F. Hübner,27,74,Lean,3000000.00,20000.00
R. Strebinger,25,76,Normal,2900000.00,10000.00
A. Çalık,24,77,Normal,3500000.00,28000.00
J. Ledley,31,72,Normal,2100000.00,27000.00
A. Mobara,24,77,Lean,3500000.00,1000.00
V. Găman,29,72,Lean,2400000.00,22000.00
Hao Junmin,31,72,Normal,2700000.00,14000.00
L. Aued,31,72,Normal,2700000.00,8000.00
C. Molinaro,34,72,Normal,875000.00,11000.00
S. Medina,26,74,Normal,3100000.00,28000.00
K. Diks,21,79,Lean,3700000.00,23000.00
A. Büyük,30,72,Stocky,2900000.00,11000.00
Guitián,27,74,Normal,3000000.00,7000.00
C. Christie,25,75,Normal,3200000.00,32000.00
R. Žulj,26,74,Lean,3800000.00,25000.00
João Afonso,28,72,Normal,2500000.00,8000.00
S. Decarli,26,75,Lean,3200000.00,15000.00
R. McCormack,31,72,Stocky,2800000.00,16000.00
B. Trawally,23,78,Lean,4300000.00,11000.00
R. Danzé,31,72,Lean,2000000.00,20000.00
Hwang Hee Chan,22,82,Normal,5000000.00,24000.00
S. Coopman,23,77,Lean,4200000.00,10000.00
S. Perica,22,77,Lean,4200000.00,18000.00
A. Mena,30,72,Lean,2900000.00,20000.00
Rubén García,24,77,Normal,4200000.00,7000.00
Jairinhazo,30,72,Lean,2900000.00,12000.00
Diogo Dalot,19,84,Normal,4700000.00,26000.00
Pedro Sánchez,31,72,Normal,2700000.00,8000.00
P. Arajuuri,30,72,Normal,2300000.00,18000.00
Álex Fernández,25,77,Lean,3500000.00,7000.00
Jessé Ledeiro,30,72,Normal,2900000.00,20000.00
T. Torun,28,72,Normal,3100000.00,18000.00
J. Windass,24,78,Normal,4300000.00,32000.00
T. Romanczuk,26,74,Normal,3100000.00,7000.00
K. Pedersen,23,77,Normal,3500000.00,16000.00
L. Carole,27,73,Normal,2900000.00,13000.00
F. Al Muwallad,23,77,Lean,4200000.00,23000.00
S. van de Streek,25,74,Normal,3800000.00,13000.00
Renato Santos,26,72,Lean,3300000.00,8000.00
Àngel Rangel,35,72,Normal,675000.00,5000.00
L. Reyes,27,73,Lean,2900000.00,35000.00
K. Letica,21,80,Normal,3500000.00,8000.00
C. Brunt,33,72,Normal,1800000.00,24000.00
I. Mbenza,22,80,Normal,4600000.00,17000.00
A. Castro,23,78,Lean,4300000.00,13000.00
O. Nyland,27,74,Normal,2500000.00,11000.00
M. Iori,36,72,Normal,975000.00,2000.00
D. Pavelka,27,75,Lean,3100000.00,10000.00
R. Keogh,31,72,Normal,2100000.00,27000.00
Adrián Burnabão,34,72,Normal,1600000.00,16000.00
F. Sammaritano,32,72,Stocky,2400000.00,11000.00
J. Fernández,30,72,Normal,2900000.00,12000.00
Munir,29,73,Normal,2400000.00,6000.00
J. Nieto,25,77,Normal,4099999.00,4000.00
Carlos Fernández,22,82,Lean,5000000.00,11000.00
S. Mosquera,23,80,Normal,4600000.00,6000.00
J. Pereira,31,72,Normal,2100000.00,24000.00
Jorge Carvallinho,34,72,Normal,950000.00,15000.00
R. Řezník,29,72,Normal,2400000.00,1000.00
Y. Mulumbu,31,72,Normal,2100000.00,32000.00
A. Esswein,28,72,Normal,3100000.00,20000.00
L. Boyé,22,81,Normal,4900000.00,1000.00
J. van Overeem,24,75,Normal,3900000.00,12000.00
M. Mahi,24,76,Normal,4099999.00,7000.00
D. Henderson,21,83,Lean,4200000.00,31000.00
I. Lewczuk,33,72,Normal,1300000.00,25000.00
F. Kroos,27,75,Normal,3100000.00,20000.00
F. Quignon,25,77,Normal,4099999.00,13000.00
D. N'Dinga,30,72,Normal,2300000.00,10000.00
Welinton,29,72,Stocky,2400000.00,11000.00
L. Jiménez,29,72,Normal,2400000.00,15000.00
N. Mushekwi,30,72,Stocky,3000000.00,11000.00
J. Jugas,26,76,Normal,3300000.00,1000.00
Claiton,33,72,Lean,1300000.00,3000.00
G. Zusi,31,72,Normal,2000000.00,6000.00
J. Mauri,22,79,Normal,4300000.00,43000.00
L. Sigali,31,72,Normal,2100000.00,14000.00
I. Seck,28,72,Normal,2500000.00,11000.00
D. Gonzo,22,78,Normal,0.00,0.00
Su Boyang,29,73,Normal,2400000.00,9000.00
L. Caldirola,27,72,Lean,2600000.00,17000.00
G. Hauche,31,72,Normal,2800000.00,4000.00
B. Hrgota,25,75,Lean,4000000.00,24000.00
D. Morales,31,72,Normal,2700000.00,11000.00
M. Milligan,32,72,Normal,1800000.00,6000.00
D. Čop,28,72,Lean,3200000.00,14000.00
A. Andrade,29,72,Normal,3000000.00,22000.00
F. Ricci,24,75,Normal,3900000.00,31000.00
A. Ömür,19,79,Normal,4200000.00,10000.00
M. Erdinç,31,72,Normal,2800000.00,19000.00
D. Zabala,26,72,Stocky,3300000.00,11000.00
R. Canouse,23,80,Stocky,3900000.00,5000.00
A. Hoffmann,25,76,Normal,3400000.00,18000.00
J. Mattheij,25,75,Normal,3300000.00,5000.00
M. Sprocati,24,75,Normal,3900000.00,29000.00
J. Torres Nilo,30,72,Normal,2200000.00,32000.00
D. Kombarov,31,72,Normal,2000000.00,1000.00
R. Métanire,28,72,Normal,2500000.00,13000.00
João Schmidt,25,76,Lean,3900000.00,18000.00
H. Palacios,25,77,Normal,3400000.00,4000.00
Gao Lin,32,72,Normal,2500000.00,14000.00
A. Gerndt,31,72,Normal,2800000.00,8000.00
H. Bandé,19,84,Normal,5500000.00,7000.00
E. Jakupović,33,72,Normal,1600000.00,30000.00
L. Ardente,36,72,Normal,425000.00,5000.00
S. Koç,29,72,Normal,3000000.00,12000.00
E. Andersen,25,73,Normal,3700000.00,4000.00
E. Insúa,27,73,Normal,2900000.00,1000.00
Simy,26,75,Lean,3900000.00,4000.00
G. Angella,29,72,Lean,2400000.00,18000.00
Felipe,27,72,Normal,3200000.00,7000.00
J. Correa,25,75,Normal,4000000.00,11000.00
F. Coloccini,36,72,Normal,425000.00,10000.00
S. Frei,32,72,Normal,1800000.00,5000.00
F. Ceravolo,31,72,Normal,2800000.00,30000.00
F. Eboa Eboa,21,79,Normal,3800000.00,11000.00
A. Abedzadeh,25,77,Normal,3000000.00,6000.00
S. Gustafson,23,77,Normal,4200000.00,12000.00
A. Tello,21,82,Normal,5000000.00,3000.00
O. Hurmacı,31,72,Lean,2700000.00,11000.00
R. Gutiérrez,35,72,Stocky,1400000.00,3000.00
N. Murru,23,77,Lean,3500000.00,18000.00
W. Zimmerman,25,76,Normal,3400000.00,6000.00
G. Lanaro,32,72,Stocky,1800000.00,8000.00
I. Canuto,32,72,Stocky,1800000.00,10000.00
S. Nakamura,40,72,Lean,0.00,4000.00
Vasco Fernandes,31,72,Normal,2100000.00,5000.00
Luís Leal,31,72,Stocky,2800000.00,15000.00
M. González,37,72,Stocky,1000000.00,8000.00
J. Barreiro,24,80,Lean,3900000.00,12000.00
Clayton Fildeiras,34,72,Normal,1600000.00,12000.00
N. Mazraoui,20,80,Lean,3900000.00,8000.00
Bruno Uvini,27,73,Normal,2900000.00,24000.00
R. Sigurjónsson,28,72,Normal,3100000.00,12000.00
P. Arriola,23,77,Normal,4200000.00,6000.00
E. Buendía,21,79,Stocky,4400000.00,15000.00
G. Gillet,34,72,Normal,950000.00,8000.00
B. Méndez,18,82,Stocky,0.00,0.00
A. Briseño,24,77,Normal,3500000.00,7000.00
S. Sáez,33,72,Normal,2000000.00,9000.00
F. Zuqui,26,73,Normal,3600000.00,12000.00
R. Lamah,30,72,Lean,2900000.00,7000.00
Paulao Junqueiras,30,72,Stocky,3000000.00,22000.00
G. Escobar,21,80,Normal,3900000.00,7000.00
S. Żurkowski,20,83,Normal,5500000.00,4000.00
Diego Ângelo,32,72,Normal,1800000.00,12000.00
M. Johansson,26,75,Lean,3200000.00,1000.00
O. John,26,72,Normal,3300000.00,8000.00
Filipe Augusto,24,79,Normal,3700000.00,7000.00
F. Lértora,27,73,Normal,2900000.00,10000.00
A. Barboza,23,77,Lean,3500000.00,13000.00
T. Savanier,26,75,Normal,3800000.00,14000.00
Daniel Guimarães,31,72,Lean,1900000.00,7000.00
E. Ofori,23,78,Normal,4200000.00,20000.00
E. Karaca,28,72,Lean,3100000.00,12000.00
D. Di Gennaro,30,72,Lean,2900000.00,30000.00
B. Ketkeophomphone,28,72,Lean,3200000.00,7000.00
A. Henríquez,24,75,Normal,4000000.00,9000.00
F. Angileri,24,79,Normal,3700000.00,9000.00
A. Matri,33,72,Normal,2000000.00,35000.00
D. Banguero,28,72,Normal,2500000.00,3000.00
Nilsito Vilela,30,72,Lean,3000000.00,14000.00
Canella,30,72,Normal,2200000.00,7000.00
M. Pérez García,33,72,Stocky,1900000.00,11000.00
A. Khubulov,27,72,Normal,3300000.00,11000.00
A. Costa,32,72,Lean,1800000.00,4000.00
A. Morales,28,72,Normal,3100000.00,22000.00
S. Longo,26,74,Lean,3800000.00,40000.00
L. Höler,23,75,Normal,4000000.00,17000.00
Torrejón,32,72,Stocky,1800000.00,20000.00
Rogerinho,31,72,Lean,2700000.00,18000.00
Zhang Xizhe,27,72,Lean,3300000.00,14000.00
Vítor Gomes,30,72,Normal,2900000.00,9000.00
R. van La Parra,27,72,Normal,3300000.00,31000.00
V. Le Goff,28,72,Lean,2500000.00,7000.00
Albentosa,29,72,Normal,2400000.00,8000.00
S. Khaoui,23,76,Lean,4099999.00,25000.00
H. Goitom,33,72,Normal,2000000.00,8000.00
T. Howard,39,72,Normal,210000.00,3000.00
C. Obasi,32,72,Lean,2500000.00,5000.00
G. Fofana,25,77,Lean,3500000.00,14000.00
L. Andersen,23,78,Lean,4300000.00,11000.00
D. Linsmayer,26,74,Normal,3100000.00,5000.00
M. Goicoechea,30,72,Normal,2000000.00,15000.00
Dankler,26,74,Stocky,3100000.00,5000.00
J. Arango,27,73,Lean,3600000.00,12000.00
C. Chimino,30,72,Normal,2200000.00,11000.00
A. Traoré,23,77,Lean,4099999.00,35000.00
S. Viera,35,72,Normal,725000.00,2000.00
L. Montes,32,72,Normal,2400000.00,21000.00
J. Garro,25,73,Lean,3700000.00,12000.00
A. Warda,24,75,Normal,3900000.00,1000.00
Varela,33,72,Normal,1900000.00,11000.00
M. Cuisance,18,85,Normal,5500000.00,9000.00
J. Mercier,38,72,Normal,425000.00,6000.00
E. Hallfreðsson,34,72,Normal,1500000.00,12000.00
T. Sušić,26,74,Normal,3800000.00,7000.00
E. Gnahoré,24,77,Normal,4099999.00,3000.00
N. Bertolo,32,72,Normal,2400000.00,11000.00
K. Nordfeldt,29,74,Normal,2500000.00,16000.00
R. Varga,28,72,Lean,0.00,0.00
S. Yago,25,77,Normal,3400000.00,17000.00
Hugo Rubiães,34,72,Normal,950000.00,18000.00
J. Okore,25,76,Stocky,3400000.00,10000.00
Y. Bammou,26,73,Lean,3700000.00,18000.00
B. Caicedo,26,75,Lean,0.00,0.00
A. Silbeira,22,72,Lean,0.00,0.00
N. Powell,24,76,Lean,4099999.00,32000.00
O. Alanís,29,72,Lean,2400000.00,8000.00
Carleto Costinha,26,72,Lean,3300000.00,20000.00
R. Williams,29,72,Normal,2400000.00,15000.00
G. Charbonnier,29,72,Lean,3100000.00,7000.00
J. Egan,25,77,Normal,3500000.00,9000.00
L. Olaza,23,78,Normal,3600000.00,10000.00
M. Kosanović,28,73,Normal,2800000.00,11000.00
F. Cerro,30,72,Normal,2900000.00,10000.00
S. Naismith,31,72,Normal,2700000.00,21000.00
Mauro Riboas,26,72,Normal,3300000.00,20000.00
Rafael Lopes,26,73,Normal,3700000.00,7000.00
David García,36,72,Stocky,425000.00,6000.00
A. Mosquera,28,74,Normal,2900000.00,20000.00
O. Idrissi,22,79,Normal,4400000.00,11000.00
Yu Hanchao,31,72,Normal,2700000.00,13000.00
Hong Jeong Ho,28,72,Lean,2500000.00,14000.00
M. Schmiedebach,29,72,Normal,2400000.00,22000.00
S. Badji,28,72,Normal,2500000.00,13000.00
R. Gómez,25,75,Normal,3900000.00,17000.00
D. Limnios,20,80,Lean,4600000.00,1000.00
René,34,72,Normal,1300000.00,5000.00
S. Scuffet,22,82,Lean,3800000.00,11000.00
J. Rinne,25,77,Normal,3000000.00,8000.00
L. Agbenyenu,21,80,Normal,3900000.00,6000.00
Marcão,24,77,Stocky,4200000.00,6000.00
J. Sala,26,73,Lean,3000000.00,21000.00
A. Bamba,28,72,Lean,2500000.00,16000.00
R. Quioto,26,72,Normal,3300000.00,7000.00
Santi da Bruma,34,72,Lean,1600000.00,11000.00
Y. En-Nesyri,21,78,Lean,4400000.00,17000.00
S. Jung,28,72,Normal,2500000.00,27000.00
R. Matos,25,75,Lean,3900000.00,19000.00
Thiago Alminxa,26,72,Lean,3400000.00,14000.00
J. Lucumi,23,80,Lean,4600000.00,4000.00
T. Chevalier,31,72,Normal,2700000.00,12000.00
S. Polter,27,73,Normal,3600000.00,24000.00
M. Møller Dæhli,23,77,Lean,4200000.00,12000.00
O. Boumal,28,72,Normal,3100000.00,6000.00
K. Boyd,34,72,Stocky,1600000.00,7000.00
Douglas,27,72,Normal,2600000.00,71000.00
M. Malyshev,25,78,Normal,3600000.00,1000.00
M. Zaracho,20,85,Normal,6000000.00,11000.00
M. Shaparenko,19,85,Lean,6000000.00,1000.00
J. Boye,31,72,Normal,2100000.00,6000.00
V. Regini,27,72,Lean,2600000.00,21000.00
H. Martín,25,75,Normal,4000000.00,41000.00
C. Galano,27,72,Normal,3300000.00,30000.00
Cristian Lodeira,26,72,Lean,3400000.00,11000.00
Josué Sá,26,76,Lean,3300000.00,13000.00
L. Menossi,24,76,Normal,4000000.00,10000.00
Adrián Marín,21,81,Lean,4099999.00,11000.00
Aleñá,20,85,Normal,6000000.00,58000.00
D. Maresic,18,84,Lean,4500000.00,6000.00
O. Lewicki,25,75,Normal,3300000.00,5000.00
P. Bernardoni,21,82,Normal,3900000.00,13000.00
Walter Silvieiro,26,72,Normal,3400000.00,14000.00
M. Waghorn,28,72,Stocky,3200000.00,34000.00
D. Álvarez,23,77,Lean,4200000.00,9000.00
M. Castagnetti,28,72,Normal,3100000.00,4000.00
A. Davies,17,87,Lean,6000000.00,3000.00
L. Mabiala,30,72,Normal,2300000.00,6000.00
Y. Abdelhamid,30,72,Normal,2300000.00,13000.00
P. Rubio,29,72,Normal,3100000.00,10000.00
C. Strandberg,22,78,Stocky,4300000.00,6000.00
A. Shabanov,26,77,Normal,3400000.00,1000.00
G. Brugman,25,74,Lean,3700000.00,4000.00
Josué da Feira,26,72,Normal,3400000.00,11000.00
C. Pinsoglio,28,72,Lean,2200000.00,44000.00
W. Foderingham,27,75,Normal,2600000.00,26000.00
D. Arias,33,72,Normal,1300000.00,3000.00
D. Bouanga,23,77,Lean,4200000.00,12000.00
M. Olunga,24,79,Normal,4400000.00,8000.00
Murilo,23,78,Normal,4300000.00,9000.00
T. Trybull,25,74,Lean,3200000.00,18000.00
I. Kiese Thelin,26,74,Lean,3800000.00,16000.00
T. Cardona,22,78,Lean,3600000.00,9000.00
C. Fassnacht,24,75,Lean,3900000.00,14000.00
Y. Ouattara,34,72,Normal,0.00,0.00
Quique,28,72,Normal,3200000.00,9000.00
M. Günok,29,73,Normal,2400000.00,14000.00
T. Kalas,25,76,Stocky,3400000.00,26000.00
A. Briançon,23,76,Stocky,3400000.00,11000.00
S. Abdullahi,25,75,Normal,3300000.00,12000.00
L. Štetina,26,74,Stocky,3100000.00,1000.00
K. Kerschbaumer,26,73,Normal,3600000.00,19000.00
J. Tallo,25,76,Normal,4099999.00,8000.00
P. Díaz,23,79,Normal,3700000.00,20000.00
C. Gruezo,23,79,Normal,3700000.00,5000.00
P. Gallese,28,73,Normal,2500000.00,5000.00
J. Morrison,32,72,Lean,2400000.00,24000.00
J. Foyth,20,85,Lean,5500000.00,33000.00
D. Villalva,25,73,Normal,3700000.00,7000.00
B. Acosta,24,76,Normal,4099999.00,7000.00
R. Vargas,31,72,Normal,2700000.00,4000.00
M. Ducksch,24,76,Lean,4099999.00,20000.00
N. Asare,31,72,Lean,2000000.00,14000.00
J. Gressel,24,78,Normal,4300000.00,6000.00
T. Oar,26,72,Lean,3300000.00,3000.00
Fernando Bob,30,72,Normal,2300000.00,6000.00
C. Bernardi,28,72,Normal,3100000.00,11000.00
H. Dalsgaard,28,72,Normal,2500000.00,29000.00
G. Barry,37,72,Normal,425000.00,16000.00
J. Bottinelli,33,72,Stocky,1300000.00,10000.00
D. Dibusz,27,73,Normal,0.00,0.00
I. Diomandé,25,77,Normal,3500000.00,14000.00
Y. Al Shahrani,26,74,Lean,3100000.00,24000.00
N. Boilesen,26,74,Normal,3100000.00,14000.00
S. Ben Youssef,29,73,Stocky,2700000.00,11000.00
G. Sara,30,72,Normal,2000000.00,10000.00
J. Otero,23,79,Normal,4400000.00,12000.00
A. Biyogo Poko,25,76,Normal,3900000.00,17000.00
L. Castellanos,34,72,Normal,1300000.00,3000.00
N. Maraš,22,80,Normal,3900000.00,6000.00
T. Letschert,25,75,Normal,3300000.00,28000.00
F. Fontanini,28,73,Stocky,2800000.00,13000.00
A. Hruška,32,72,Lean,1800000.00,1000.00
Martos,34,72,Normal,950000.00,10000.00
J. Jeanvier,25,76,Normal,3400000.00,26000.00
J. Tagueu,24,75,Stocky,4000000.00,8000.00
C. Terzi,34,72,Lean,950000.00,4000.00
I. Piris,29,72,Lean,2400000.00,29000.00
S. Moreira,23,78,Normal,3600000.00,16000.00
Aketxe,24,78,Normal,4300000.00,6000.00
S. Rieks,31,72,Lean,2700000.00,6000.00
F. Moubandje,28,72,Normal,2500000.00,19000.00
P. Ankersen,27,72,Lean,2600000.00,14000.00
C. Falletti,25,75,Lean,3900000.00,21000.00
Allano,23,80,Lean,4600000.00,13000.00
J. Morávek,28,72,Normal,3100000.00,18000.00
C. Riaño,29,72,Normal,3100000.00,12000.00
Aythami Artiles,32,72,Normal,1800000.00,7000.00
J. Risdon,25,75,Normal,3200000.00,7000.00
E. Alioski,26,73,Normal,3700000.00,30000.00
C. Robinson,23,80,Lean,4600000.00,10000.00
S. Bastien,21,81,Lean,4800000.00,9000.00
João Talocha,28,72,Normal,2500000.00,7000.00
J. Pollersbeck,23,79,Normal,3200000.00,7000.00
M. Abeid,25,74,Stocky,3200000.00,10000.00
M. Rzatkowski,28,72,Lean,3100000.00,26000.00
Marcão,22,78,Normal,3600000.00,6000.00
Álvaro,27,73,Normal,3600000.00,20000.00
B. Perlaza,26,75,Normal,3200000.00,4000.00
R. Sallai,21,80,Lean,4600000.00,13000.00
B. Kamara,18,88,Lean,6000000.00,11000.00
T. Beugelsdijk,27,72,Normal,2600000.00,7000.00
G. Giménez,26,73,Normal,3600000.00,11000.00
K. Lafferty,30,72,Lean,3000000.00,38000.00
L. Díaz,21,83,Lean,5500000.00,3000.00
L. Benito,26,75,Normal,3200000.00,15000.00
Raúl Lizoain,27,74,Normal,2500000.00,6000.00
L. Reyes,27,73,Normal,3500000.00,16000.00
P. Bardsley,33,72,Normal,1200000.00,32000.00
Jonas Damasto,34,72,Lean,875000.00,14000.00
P. Da Silva,38,72,Normal,0.00,0.00
M. Rodríguez,23,78,Lean,4300000.00,14000.00
J. Hugill,26,75,Normal,3900000.00,51000.00
Thiago Cionek,32,72,Normal,1800000.00,10000.00
A. Struna,27,73,Normal,2900000.00,3000.00
R. Salinas,30,72,Lean,2200000.00,16000.00
Salva Sevilla,34,72,Normal,1500000.00,8000.00
Y. Bissouma,21,82,Normal,5000000.00,23000.00
M. Rohdén,27,72,Normal,3200000.00,4000.00
M. Demir,26,74,Normal,3800000.00,12000.00
D. Lezcano,28,72,Normal,3200000.00,21000.00
J. Puncheon,32,72,Normal,2400000.00,35000.00
M. Abarhoun,29,72,Normal,2400000.00,5000.00
W. Owusu,28,72,Lean,3200000.00,11000.00
Rúben Fernandes,32,72,Normal,1800000.00,7000.00
E. López,23,76,Normal,4099999.00,23000.00
O. Rivero,26,75,Normal,3900000.00,17000.00
Joshuando Sá,34,72,Normal,875000.00,12000.00
L. Martínez,20,80,Normal,4000000.00,7000.00
O. Şişmanoğlu,28,72,Normal,3200000.00,13000.00
A. Zaldívar,24,77,Lean,4200000.00,25000.00
D. Guzman,28,73,Normal,2800000.00,6000.00
J. Jones,23,77,Lean,4200000.00,5000.00
J. Güemez,26,73,Stocky,3000000.00,8000.00
Jeff Meirson,26,72,Normal,2600000.00,11000.00
Camacho,24,78,Normal,4300000.00,9000.00
Nuno da Costa,27,73,Lean,3600000.00,15000.00
T. Zengin,34,72,Normal,1300000.00,23000.00
B. Jeannot,26,74,Normal,3800000.00,12000.00
M. Oikonomou,25,76,Normal,3400000.00,1000.00
P. Stojanović,22,78,Normal,3600000.00,1000.00
B. Sarmiento,28,72,Stocky,3100000.00,14000.00
J. Hamad,27,72,Normal,3300000.00,5000.00
A. Al Habsi,36,72,Normal,425000.00,12000.00
L. Miranda,24,78,Normal,3600000.00,8000.00
R. Holzhauser,25,76,Lean,3400000.00,10000.00
Dani Giménez,34,72,Normal,1300000.00,6000.00
Maycon,20,84,Normal,5500000.00,1000.00
H. Kiyotake,28,72,Lean,3100000.00,7000.00
D. Maroh,31,72,Normal,2100000.00,6000.00
E. Şen,29,72,Normal,2400000.00,15000.00
K. Onisiwo,26,72,Normal,3300000.00,19000.00
S. Juklerød,24,77,Normal,3500000.00,8000.00
P. Stenzel,22,77,Lean,3500000.00,14000.00
M. Camara,21,82,Normal,4400000.00,1000.00
Douglas,30,72,Stocky,3000000.00,4000.00
D. Le Tallec,28,73,Lean,2800000.00,17000.00
R. Gosens,23,77,Normal,4200000.00,16000.00
R. Bobadilla,31,72,Stocky,2800000.00,11000.00
K. Wolze,28,72,Normal,2500000.00,7000.00
C. Basham,29,72,Lean,2400000.00,10000.00
J. Cabot,24,78,Normal,4300000.00,6000.00
Gonçalo Silva,27,74,Normal,3000000.00,5000.00
C. Arboleda,32,72,Normal,1700000.00,4000.00
G. Lajud,24,76,Normal,2900000.00,10000.00
Unai Simón,21,82,Normal,3900000.00,8000.00
C. Knasmüllner,26,75,Lean,3900000.00,14000.00
L. Lollo,31,72,Normal,2100000.00,15000.00
A. Milić,24,77,Normal,3500000.00,11000.00
Ronaldo Vieira,19,81,Normal,4000000.00,9000.00
S. Bahoken,26,75,Normal,3900000.00,18000.00
Ontiveros,20,82,Stocky,5000000.00,6000.00
N. Höfler,28,72,Normal,2500000.00,17000.00
K. Acosta,22,80,Lean,4500000.00,6000.00
Kwoun Sun Tae,33,72,Stocky,1600000.00,7000.00
A. Çamdalı,34,72,Normal,950000.00,10000.00
B. Linssen,27,72,Normal,3300000.00,12000.00
M. Trotta,25,74,Normal,3900000.00,34000.00
J. Dezi,26,74,Lean,3700000.00,28000.00
Choi Chul Soon,31,72,Lean,2000000.00,8000.00
Danilo,26,73,Normal,3000000.00,13000.00
J. Savarino,21,82,Lean,5000000.00,5000.00
M. Zeman,29,72,Lean,3000000.00,1000.00
N. Baker,27,74,Normal,3000000.00,27000.00
M. Saymak,25,76,Normal,4000000.00,11000.00
Yeom Ki Hun,35,72,Normal,1400000.00,6000.00
J. Murphy,28,72,Lean,3100000.00,39000.00
E. Prib,28,72,Normal,3100000.00,24000.00
L. Phiri,23,78,Lean,4200000.00,14000.00
Jubal,24,76,Lean,3400000.00,6000.00
A. Cubas,22,79,Normal,3700000.00,10000.00
Luismi,26,77,Normal,3400000.00,13000.00
A. Adnan,24,75,Normal,3900000.00,16000.00
Diogo Gonçalves,21,81,Lean,4800000.00,7000.00
Rui Fonte,28,72,Lean,3200000.00,41000.00
J. Bennett,28,72,Lean,2500000.00,30000.00
S. Ortega,25,76,Normal,2900000.00,8000.00
B. Białkowski,30,72,Normal,2000000.00,6000.00
Ricardo Ryller,24,77,Lean,4099999.00,9000.00
J. Börner,27,72,Normal,2600000.00,11000.00
Fran Mérida,28,73,Normal,2800000.00,8000.00
Tito,32,72,Lean,1700000.00,13000.00
